TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.509,-0.677,0.605,277.832,-234.07,-203.919,
00:00:00:16,-0.515,-0.688,0.587,196.045,-213.685,-204.041,
00:00:00:33,-0.507,-0.682,0.565,89.05,-179.2,-208.435,
00:00:00:50,-0.49,-0.643,0.545,-13.55,-143.006,-198.121,
00:00:00:66,-0.475,-0.634,0.519,-63.416,-129.456,-193.177,
00:00:00:83,-0.476,-0.622,0.519,-69.397,-121.338,-168.519,
00:00:00:100,-0.49,-0.628,0.527,-54.566,-115.54,-160.035,
00:00:00:116,-0.497,-0.648,0.528,-15.564,-100.586,-149.903,
00:00:00:133,-0.524,-0.64,0.548,-8.606,-83.191,-133.484,
00:00:00:150,-0.539,-0.63,0.555,3.234,-36.255,-121.46,
00:00:00:166,-0.513,-0.624,0.519,27.832,-25.269,-110.779,
00:00:00:183,-0.524,-0.616,0.526,61.828,-21.851,-92.713,
00:00:00:200,-0.533,-0.666,0.535,56.518,-10.621,-106.202,
00:00:00:216,-0.522,-0.695,0.541,36.682,5.004,-100.22,
00:00:00:233,-0.539,-0.672,0.565,-7.996,22.216,-87.281,
00:00:00:250,-0.541,-0.645,0.568,-24.781,41.687,-76.416,
00:00:00:266,-0.535,-0.635,0.568,18.798,30.395,-73.426,
00:00:00:283,-0.551,-0.638,0.585,74.096,11.108,-72.144,
00:00:00:300,-0.558,-0.664,0.589,103.82,9.521,-78.614,
00:00:00:316,-0.554,-0.679,0.577,100.525,12.39,-75.867,
00:00:00:333,-0.559,-0.665,0.556,86.242,31.189,-68.177,
00:00:00:350,-0.545,-0.639,0.55,110.962,40.161,-57.618,
00:00:00:366,-0.538,-0.632,0.557,168.09,22.094,-46.082,
00:00:00:383,-0.543,-0.659,0.577,211.425,-0.245,-47.547,
00:00:00:400,-0.547,-0.704,0.585,218.078,-12.635,-44.8,
00:00:00:416,-0.561,-0.727,0.586,195.739,-19.593,-44.068,
00:00:00:433,-0.564,-0.728,0.576,160.583,-19.776,-50.293,
00:00:00:450,-0.558,-0.715,0.553,114.685,-14.039,-53.833,
00:00:00:466,-0.545,-0.707,0.533,74.34,-12.207,-58.289,
00:00:00:483,-0.545,-0.702,0.533,54.016,-17.212,-61.158,
00:00:00:500,-0.555,-0.701,0.535,34.301,-18.006,-64.27,
00:00:00:516,-0.561,-0.704,0.542,10.925,-20.02,-65.674,
00:00:00:533,-0.564,-0.696,0.539,-7.142,-15.076,-59.815,
00:00:00:550,-0.557,-0.686,0.542,-9.888,-24.414,-55.115,
00:00:00:566,-0.559,-0.688,0.526,-0.672,-31.067,-51.819,
00:00:00:583,-0.556,-0.693,0.518,5.798,-32.837,-46.57,
00:00:00:600,-0.552,-0.678,0.497,15.136,-24.537,-30.03,
00:00:00:616,-0.548,-0.669,0.494,47.424,-29.175,-25.086,
00:00:00:633,-0.558,-0.682,0.503,75.134,-34.546,-27.222,
00:00:00:650,-0.555,-0.701,0.518,89.416,-39.917,-24.292,
00:00:00:666,-0.575,-0.688,0.521,96.862,-32.715,-6.287,
00:00:00:683,-0.581,-0.674,0.509,146.789,-28.382,1.159,
00:00:00:700,-0.579,-0.672,0.496,221.008,-43.519,3.051,
00:00:00:716,-0.583,-0.712,0.481,296.508,-55.481,-8.789,
00:00:00:733,-0.586,-0.741,0.457,329.101,-56.763,-18.616,
00:00:00:750,-0.595,-0.758,0.438,296.264,-42.176,-24.781,
00:00:00:766,-0.589,-0.769,0.42,247.863,-23.316,-41.626,
00:00:00:783,-0.581,-0.764,0.407,175.415,-1.77,-49.317,
00:00:00:800,-0.576,-0.754,0.398,106.506,16.784,-56.641,
00:00:00:816,-0.571,-0.758,0.403,35.461,25.451,-58.533,
00:00:00:833,-0.565,-0.76,0.404,-12.635,33.996,-57.435,
00:00:00:850,-0.563,-0.742,0.421,-56.092,43.212,-46.387,
00:00:00:866,-0.562,-0.731,0.424,-83.069,52.795,-42.908,
00:00:00:883,-0.553,-0.738,0.429,-97.413,47.729,-35.584,
00:00:00:900,-0.552,-0.746,0.445,-111.634,49.011,-34.18,
00:00:00:916,-0.555,-0.749,0.455,-130.738,56.518,-27.894,
00:00:00:933,-0.55,-0.727,0.456,-153.321,68.42,-14.832,
00:00:00:950,-0.541,-0.717,0.46,-145.264,64.697,-10.804,
00:00:00:966,-0.546,-0.711,0.473,-107.056,51.208,-2.32,
00:00:00:983,-0.555,-0.723,0.477,-60.425,39.306,-2.32,
00:00:01:0,-0.559,-0.732,0.484,-47.181,35.095,4.699,
00:00:01:16,-0.563,-0.747,0.48,-32.654,26.916,2.685,
00:00:01:33,-0.567,-0.748,0.482,-27.466,25.146,5.371,
00:00:01:50,-0.571,-0.744,0.472,-21.485,23.559,5.065,
00:00:01:66,-0.566,-0.748,0.466,-18.86,18.859,-1.831,
00:00:01:83,-0.562,-0.746,0.462,-30.762,18.92,-3.663,
00:00:01:100,-0.562,-0.743,0.459,-52.613,17.7,-6.409,
00:00:01:116,-0.565,-0.745,0.458,-56.641,22.705,-9.156,
00:00:01:133,-0.57,-0.735,0.469,-54.871,18.615,-7.874,
00:00:01:150,-0.564,-0.725,0.469,-53.162,24.841,-13.794,
00:00:01:166,-0.558,-0.721,0.463,-55.176,29.541,-13.611,
00:00:01:183,-0.555,-0.73,0.47,-45.289,26.367,-15.015,
00:00:01:200,-0.556,-0.734,0.474,-31.311,26.001,-16.541,
00:00:01:216,-0.568,-0.749,0.468,-33.57,31.311,-17.64,
00:00:01:233,-0.573,-0.766,0.473,-34.424,34.606,-27.466,
00:00:01:250,-0.575,-0.779,0.474,-55.42,42.48,-42.664,
00:00:01:266,-0.574,-0.787,0.474,-96.253,56.64,-56.824,
00:00:01:283,-0.563,-0.768,0.473,-151.612,67.871,-72.083,
00:00:01:300,-0.559,-0.744,0.474,-203.064,84.472,-79.712,
00:00:01:316,-0.549,-0.715,0.483,-225.037,90.21,-80.567,
00:00:01:333,-0.546,-0.694,0.496,-226.014,88.44,-80.384,
00:00:01:350,-0.548,-0.697,0.514,-215.882,85.144,-75.867,
00:00:01:366,-0.551,-0.693,0.534,-196.961,72.509,-71.167,
00:00:01:383,-0.549,-0.684,0.549,-187.745,67.382,-62.317,
00:00:01:400,-0.539,-0.669,0.555,-181.153,57.678,-53.284,
00:00:01:416,-0.536,-0.657,0.56,-152.649,45.044,-37.049,
00:00:01:433,-0.537,-0.651,0.574,-111.084,21.85,-27.405,
00:00:01:450,-0.538,-0.653,0.581,-91.248,14.648,-17.945,
00:00:01:466,-0.544,-0.663,0.577,-89.661,17.15,-6.653,
00:00:01:483,-0.549,-0.678,0.576,-85.816,1.159,1.525,
00:00:01:500,-0.563,-0.684,0.578,-89.234,-9.766,5.31,
00:00:01:516,-0.568,-0.7,0.573,-98.328,-22.4,-1.038,
00:00:01:533,-0.572,-0.712,0.571,-132.508,-21.241,-13.062,
00:00:01:550,-0.568,-0.721,0.56,-195.191,-5.433,-24.414,
00:00:01:566,-0.561,-0.705,0.549,-250.428,9.765,-28.931,
00:00:01:583,-0.556,-0.697,0.54,-289.124,18.31,-41.81,
00:00:01:600,-0.552,-0.672,0.545,-323.304,46.264,-41.626,
00:00:01:616,-0.545,-0.646,0.549,-347.718,44.738,-37.232,
00:00:01:633,-0.538,-0.635,0.569,-324.341,48.4,-37.293,
00:00:01:650,-0.533,-0.618,0.581,-290.528,42.297,-28.992,
00:00:01:666,-0.537,-0.602,0.589,-258.606,53.894,-16.663,
00:00:01:683,-0.529,-0.589,0.601,-191.59,44.982,-5.982,
00:00:01:700,-0.536,-0.593,0.602,-131.165,39.123,-2.015,
00:00:01:716,-0.541,-0.608,0.609,-71.595,35.644,1.342,
00:00:01:733,-0.546,-0.627,0.611,-35.035,38.94,-1.709,
00:00:01:750,-0.541,-0.639,0.614,-19.776,37.353,-5.677,
00:00:01:766,-0.542,-0.642,0.617,-23.682,41.565,-11.658,
00:00:01:783,-0.544,-0.643,0.623,-38.392,46.203,-21.912,
00:00:01:800,-0.543,-0.64,0.623,-50.049,50.659,-25.147,
00:00:01:816,-0.545,-0.643,0.631,-47.303,47.302,-28.748,
00:00:01:833,-0.552,-0.629,0.637,-41.687,43.762,-29.114,
00:00:01:850,-0.545,-0.608,0.645,-27.832,41.992,-30.091,
00:00:01:866,-0.533,-0.609,0.639,-10.437,41.931,-26.978,
00:00:01:883,-0.526,-0.618,0.645,19.592,29.48,-29.053,
00:00:01:900,-0.531,-0.632,0.656,20.813,23.193,-33.509,
00:00:01:916,-0.531,-0.628,0.659,-2.198,23.559,-33.753,
00:00:01:933,-0.534,-0.621,0.653,-29.847,27.648,-32.044,
00:00:01:950,-0.532,-0.604,0.661,-29.175,24.963,-29.847,
00:00:01:966,-0.527,-0.597,0.652,-26.734,21.362,-20.813,
00:00:01:983,-0.535,-0.601,0.658,-18.067,0.366,-14.1,
00:00:02:0,-0.542,-0.604,0.676,-22.034,-10.498,-8.789,
00:00:02:16,-0.528,-0.587,0.713,-57.496,-14.588,0.488,
00:00:02:33,-0.528,-0.538,0.738,-83.374,-1.282,31.127,
00:00:02:50,-0.52,-0.506,0.745,-48.096,-24.72,65.612,
00:00:02:66,-0.512,-0.499,0.775,31.433,-96.558,91.857,
00:00:02:83,-0.539,-0.513,0.818,76.904,-143.555,114.868,
00:00:02:100,-0.558,-0.536,0.836,54.504,-178.467,138.427,
00:00:02:116,-0.594,-0.557,0.806,-35.95,-221.802,152.099,
00:00:02:133,-0.601,-0.57,0.775,-169.617,-259.034,165.527,
00:00:02:150,-0.641,-0.573,0.739,-329.346,-264.588,182.312,
00:00:02:166,-0.631,-0.532,0.695,-541.138,-249.146,198.913,
00:00:02:183,-0.606,-0.423,0.649,-717.408,-211.731,248.047,
00:00:02:200,-0.596,-0.373,0.702,-806.885,-187.806,318.969,
00:00:02:216,-0.585,-0.456,0.746,-632.813,-236.084,326.782,
00:00:02:233,-0.594,-0.546,0.734,-491.578,-273.255,320.312,
00:00:02:250,-0.603,-0.572,0.697,-486.939,-245.789,351.684,
00:00:02:266,-0.558,-0.473,0.661,-585.083,-204.163,378.601,
00:00:02:283,-0.489,-0.463,0.557,-630.433,-161.805,395.446,
00:00:02:300,-0.438,-0.465,0.599,-549.195,-160.828,432.373,
00:00:02:316,-0.448,-0.629,0.662,-366.15,-195.801,410.095,
00:00:02:333,-0.461,-0.754,0.682,-237.061,-197.083,367.065,
00:00:02:350,-0.461,-0.783,0.68,-275.635,-147.828,339.538,
00:00:02:366,-0.469,-0.761,0.715,-359.07,-108.887,313.781,
00:00:02:383,-0.451,-0.654,0.688,-343.262,-71.228,275.146,
00:00:02:400,-0.438,-0.578,0.645,-278.626,-36.56,253.662,
00:00:02:416,-0.44,-0.612,0.653,-141.48,-29.664,231.689,
00:00:02:433,-0.453,-0.635,0.66,-46.998,-12.635,198.364,
00:00:02:450,-0.528,-0.626,0.681,-65.003,41.198,193.176,
00:00:02:466,-0.607,-0.589,0.705,-148.804,118.347,166.015,
00:00:02:483,-0.63,-0.53,0.722,-215.699,188.354,171.569,
00:00:02:500,-0.616,-0.467,0.723,-173.523,241.699,158.386,
00:00:02:516,-0.585,-0.495,0.77,-88.257,257.873,160.4,
00:00:02:533,-0.538,-0.543,0.783,13.122,251.281,140.564,
00:00:02:550,-0.55,-0.578,0.778,15.319,275.756,131.225,
00:00:02:566,-0.554,-0.582,0.727,-51.697,307.861,138.183,
00:00:02:583,-0.516,-0.551,0.7,-139.405,342.468,157.837,
00:00:02:600,-0.476,-0.482,0.643,-214.356,384.094,195.007,
00:00:02:616,-0.394,-0.403,0.567,-302.735,444.519,240.661,
00:00:02:633,-0.257,-0.4,0.569,-238.526,430.42,256.836,
00:00:02:650,-0.193,-0.479,0.646,-76.539,422.302,275.329,
00:00:02:666,-0.173,-0.636,0.714,93.017,385.864,285.217,
00:00:02:683,-0.171,-0.731,0.731,80.993,373.169,284.423,
00:00:02:700,-0.17,-0.705,0.728,-12.757,371.582,297.119,
00:00:02:716,-0.123,-0.739,0.767,-18.189,322.143,269.592,
00:00:02:733,-0.046,-0.794,0.786,46.142,247.802,209.289,
00:00:02:750,-0.02,-0.782,0.783,-0.061,213.928,167.114,
00:00:02:766,-0.037,-0.71,0.792,-60.914,201.477,149.109,
00:00:02:783,-0.077,-0.618,0.788,-13.977,167.541,136.596,
00:00:02:800,-0.112,-0.602,0.788,134.643,124.633,116.943,
00:00:02:816,-0.136,-0.689,0.832,248.596,61.34,84.533,
00:00:02:833,-0.124,-0.792,0.849,215.942,20.385,38.024,
00:00:02:850,-0.136,-0.757,0.822,27.71,27.038,30.395,
00:00:02:866,-0.162,-0.61,0.772,-84.168,47.607,37.658,
00:00:02:883,-0.174,-0.511,0.732,-35.401,52.49,39.794,
00:00:02:900,-0.164,-0.512,0.746,124.694,30.639,50.293,
00:00:02:916,-0.139,-0.608,0.785,227.05,5.981,35.827,
00:00:02:933,-0.134,-0.688,0.819,173.645,11.352,35.339,
00:00:02:950,-0.161,-0.681,0.808,38.94,39.55,43.151,
00:00:02:966,-0.173,-0.606,0.767,-42.847,63.415,51.025,
00:00:02:983,-0.179,-0.542,0.725,24.475,75.866,50.659,
00:00:03:0,-0.145,-0.624,0.755,128.479,71.899,49.133,
00:00:03:16,-0.074,-0.815,0.925,174.377,9.399,-15.87,
00:00:03:33,-0.065,-0.771,0.988,80.505,16.662,10.742,
00:00:03:50,-0.171,-0.645,0.899,-30.396,2.502,1.709,
00:00:03:66,-0.165,-0.522,0.813,-46.082,-16.785,16.845,
00:00:03:83,-0.152,-0.476,0.761,136.108,-41.81,47.119,
00:00:03:100,-0.163,-0.517,0.724,409.057,-85.022,80.017,
00:00:03:116,-0.16,-0.545,0.661,523.742,-79.346,116.638,
00:00:03:133,-0.124,-0.571,0.633,612.121,-74.341,157.531,
00:00:03:150,-0.074,-0.775,0.611,684.814,-125.184,110.656,
00:00:03:166,-0.082,-0.947,0.681,432.067,-59.632,46.814,
00:00:03:183,-0.155,-0.787,0.732,32.592,39.428,146.972,
00:00:03:200,-0.213,-0.707,0.847,-58.289,67.871,128.601,
00:00:03:216,-0.24,-0.89,0.912,94.726,-1.038,55.297,
00:00:03:233,-0.321,-0.909,0.806,137.451,-15.076,-48.218,
00:00:03:250,-0.183,-0.804,0.64,-49.683,91.919,46.752,
00:00:03:266,-0.135,-0.666,0.712,-123.719,105.041,38.024,
00:00:03:283,-0.144,-0.724,0.71,-79.712,120.666,17.028,
00:00:03:300,-0.106,-0.749,0.697,-79.468,124.755,8.606,
00:00:03:316,-0.435,-0.565,0.596,-71.289,364.257,-79.712,
00:00:03:333,-0.01,-0.679,0.793,-83.558,481.628,180.175,
00:00:03:350,0.084,-0.659,0.734,38.513,213.989,12.817,
00:00:03:366,-0.033,-0.891,0.668,57.983,-30.396,-59.876,
00:00:03:383,-0.163,-0.747,0.643,-48.462,-46.936,33.935,
00:00:03:400,-0.14,-0.696,0.781,-127.686,84.961,62.133,
00:00:03:416,-0.114,-0.669,0.713,-14.893,107.849,64.758,
00:00:03:433,-0.044,-0.741,0.731,13.427,128.601,9.033,
00:00:03:450,-0.046,-0.769,0.668,-2.442,50.537,-13.123,
00:00:03:466,-0.077,-0.777,0.732,-37.598,11.779,-21.363,
00:00:03:483,-0.095,-0.713,0.718,-12.024,30.09,-8.606,
00:00:03:500,-0.078,-0.709,0.726,-5.799,52.002,-8.973,
00:00:03:516,-0.068,-0.726,0.708,5.188,31.555,-30.823,
00:00:03:533,-0.081,-0.74,0.713,-11.109,7.202,-37.232,
00:00:03:550,-0.091,-0.742,0.72,-9.644,14.404,-35.584,
00:00:03:566,-0.082,-0.729,0.705,-8.484,18.493,-29.908,
00:00:03:583,-0.078,-0.738,0.707,-21.058,12.146,-36.377,
00:00:03:600,-0.085,-0.741,0.713,-26.856,4.272,-16.724,
00:00:03:616,-0.082,-0.736,0.72,-27.771,11.413,-24.72,
00:00:03:633,-0.07,-0.729,0.713,-18.799,16.54,-28.138,
00:00:03:650,-0.075,-0.738,0.717,-7.203,8.3,-36.805,
00:00:03:666,-0.08,-0.722,0.711,3.051,-24.353,-35.096,
00:00:03:683,-0.081,-0.733,0.69,-35.828,-54.505,-49.988,
00:00:03:700,-0.102,-0.843,0.701,-97.107,-83.435,-24.842,
00:00:03:716,-0.115,-0.757,0.718,-117.005,-74.341,48.828,
00:00:03:733,-0.07,-0.631,0.77,-22.828,-112.854,107.605,
00:00:03:750,-0.211,-0.644,0.769,198.059,-48.462,46.325,
00:00:03:766,-0.32,-0.744,0.741,641.54,5.432,-24.231,
00:00:03:783,-0.378,-0.638,0.891,1377.258,-346.314,-656.678,
00:00:03:800,-0.16,-1.209,0.572,1351.379,-40.039,-625.55,
00:00:03:816,-0.09,-1.369,0.5,818.664,-47.425,-343.201,
00:00:03:833,-0.422,-1.125,0.518,333.801,-31.617,-389.71,
00:00:03:850,-0.378,-0.937,0.464,268.005,114.074,-472.229,
00:00:03:866,-0.258,-0.833,0.427,598.51,127.746,-460.083,
00:00:03:883,-0.275,-0.825,0.35,988.647,137.146,-403.809,
00:00:03:900,-0.345,-0.842,0.327,1244.384,159.301,-400.757,
00:00:03:916,-0.324,-0.894,0.338,1282.348,186.706,-414.185,
00:00:03:933,-0.263,-0.906,0.316,1302.49,227.783,-386.109,
00:00:03:950,-0.216,-0.843,0.331,1368.286,228.271,-335.999,
00:00:03:966,-0.175,-0.862,0.323,1484.68,178.527,-312.439,
00:00:03:983,-0.176,-0.981,0.258,1511.84,139.648,-306.519,
00:00:04:0,-0.193,-1.002,0.257,1315.49,146.301,-225.525,
00:00:04:16,-0.192,-0.984,0.22,1050.781,170.288,-192.322,
00:00:04:33,-0.182,-0.878,0.103,899.658,186.95,-165.467,
00:00:04:50,-0.147,-0.917,0.089,782.898,165.039,-162.659,
00:00:04:66,-0.141,-0.896,0.072,717.285,156.494,-126.099,
00:00:04:83,-0.135,-0.869,0.051,651.245,141.296,-76.355,
00:00:04:100,-0.128,-0.913,-0.061,676.269,111.328,-80.872,
00:00:04:116,-0.12,-0.952,0.045,714.477,47.363,-21.363,
00:00:04:133,-0.183,-0.993,-0.075,725.769,31.799,-23.865,
00:00:04:150,-0.184,-0.975,-0.087,660.705,13.61,-22.278,
00:00:04:166,-0.165,-0.984,-0.071,605.285,-18.128,-23.194,
00:00:04:183,-0.188,-0.989,-0.119,512.268,-53.65,-14.527,
00:00:04:200,-0.213,-1.001,-0.164,496.032,-62.378,-53.772,
00:00:04:216,-0.234,-0.975,-0.203,487.915,-28.321,-58.472,
00:00:04:233,-0.24,-0.906,-0.222,550.232,-27.894,-45.899,
00:00:04:250,-0.271,-0.918,-0.312,555.359,-38.819,-50.904,
00:00:04:266,-0.316,-0.867,-0.443,458.496,-4.883,-39.856,
00:00:04:283,-0.288,-0.859,-0.411,418.151,55.542,-64.942,
00:00:04:300,-0.269,-1.018,-0.421,472.656,91.247,-87.281,
00:00:04:316,-0.313,-1.279,-0.395,395.63,30.334,-54.078,
00:00:04:333,-0.322,-1.063,-0.38,-249.512,145.813,-40.589,
00:00:04:350,-0.253,-0.869,-0.497,-403.809,186.462,-131.043,
00:00:04:366,-0.229,-0.764,-0.441,-249.146,212.402,-103.516,
00:00:04:383,-0.189,-0.837,-0.326,-4.822,184.387,-119.202,
00:00:04:400,-0.203,-1.178,-0.264,39.123,133.422,-167.969,
00:00:04:416,-0.305,-1.402,-0.345,-303.894,144.165,-248.719,
00:00:04:433,-0.313,-1.311,-0.417,-610.413,197.387,-362.122,
00:00:04:450,-0.261,-1.195,-0.388,-572.815,210.083,-455.445,
00:00:04:466,-0.24,-1.134,-0.278,-262.452,173.034,-544.373,
00:00:04:483,-0.277,-1.243,-0.284,-14.954,172.973,-639.771,
00:00:04:500,-0.339,-1.235,-0.284,36.438,221.862,-694.153,
00:00:04:516,-0.37,-1.159,-0.311,38.391,250.793,-755.555,
00:00:04:533,-0.422,-1.16,-0.408,63.781,231.994,-788.636,
00:00:04:550,-0.514,-1.117,-0.432,162.597,268.188,-847.962,
00:00:04:566,-0.584,-1.136,-0.446,200.988,399.597,-899.598,
00:00:04:583,-0.605,-1.102,-0.356,65.551,491.76,-917.359,
00:00:04:600,-0.668,-0.997,-0.319,-129.456,572.448,-900.757,
00:00:04:616,-0.679,-0.841,-0.25,-178.65,627.868,-908.753,
00:00:04:633,-0.656,-0.69,-0.158,-154.847,665.1,-881.897,
00:00:04:650,-0.657,-0.659,-0.122,-121.705,671.325,-847.901,
00:00:04:666,-0.645,-0.578,-0.061,-150.757,701.965,-783.631,
00:00:04:683,-0.624,-0.52,-0.053,-205.567,686.645,-739.38,
00:00:04:700,-0.61,-0.431,-0.033,-233.277,688.476,-657.288,
00:00:04:716,-0.616,-0.385,-0.012,-104.004,642.273,-604.92,
00:00:04:733,-0.614,-0.341,0.003,-5.86,606.384,-529.175,
00:00:04:750,-0.626,-0.363,0.042,22.338,565.307,-464.112,
00:00:04:766,-0.654,-0.418,0.029,-26.307,523.254,-417.237,
00:00:04:783,-0.703,-0.44,0.062,-88.257,488.403,-383.423,
00:00:04:800,-0.754,-0.482,0.081,-149.414,468.628,-363.77,
00:00:04:816,-0.777,-0.469,0.095,-153.138,454.651,-351.746,
00:00:04:833,-0.799,-0.502,0.147,-202.027,423.706,-342.53,
00:00:04:850,-0.821,-0.488,0.182,-273.499,411.438,-327.881,
00:00:04:866,-0.826,-0.488,0.209,-306.031,368.713,-335.633,
00:00:04:883,-0.893,-0.474,0.22,-270.813,340.088,-326.722,
00:00:04:900,-0.917,-0.468,0.221,-176.148,312.622,-342.591,
00:00:04:916,-0.916,-0.485,0.269,-152.039,299.072,-340.638,
00:00:04:933,-0.906,-0.48,0.285,-184.632,294.128,-329.529,
00:00:04:950,-0.907,-0.457,0.284,-192.444,275.94,-330.811,
00:00:04:966,-0.918,-0.461,0.278,-136.048,256.347,-335.144,
00:00:04:983,-0.924,-0.482,0.287,-91.614,239.99,-353.028,
00:00:05:0,-0.912,-0.471,0.268,-133.179,229.37,-367.005,
00:00:05:16,-0.894,-0.443,0.268,-176.27,228.759,-362.793,
00:00:05:33,-0.913,-0.397,0.241,-183.777,232.36,-357.056,
