TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.118,-0.605,0.819,22.705,16.723,-31.067,
00:00:00:16,-0.124,-0.614,0.814,22.949,16.662,-33.326,
00:00:00:33,-0.125,-0.618,0.816,4.577,16.357,-30.396,
00:00:00:50,-0.123,-0.615,0.813,-5.494,18.188,-30.64,
00:00:00:66,-0.124,-0.61,0.814,-15.015,20.996,-30.091,
00:00:00:83,-0.119,-0.603,0.819,-14.039,19.165,-28.504,
00:00:00:100,-0.118,-0.6,0.815,-9.705,18.676,-31.128,
00:00:00:116,-0.122,-0.603,0.813,-4.578,17.211,-31.25,
00:00:00:133,-0.125,-0.614,0.813,-5.372,19.775,-31.006,
00:00:00:150,-0.121,-0.613,0.816,-10.56,23.132,-31.434,
00:00:00:166,-0.118,-0.613,0.818,-14.039,18.188,-29.358,
00:00:00:183,-0.121,-0.608,0.817,-15.137,24.292,-26.978,
00:00:00:200,-0.119,-0.613,0.814,-15.198,21.667,-26.917,
00:00:00:216,-0.118,-0.614,0.814,-20.386,17.395,-27.771,
00:00:00:233,-0.118,-0.609,0.818,-21.79,17.395,-27.588,
00:00:00:250,-0.12,-0.607,0.823,-19.959,17.822,-27.771,
00:00:00:266,-0.119,-0.607,0.817,-17.334,20.141,-27.344,
00:00:00:283,-0.117,-0.607,0.813,-16.602,18.737,-28.87,
00:00:00:300,-0.119,-0.61,0.819,-18.982,18.127,-30.457,
00:00:00:316,-0.119,-0.61,0.818,-17.762,20.08,-30.884,
00:00:00:333,-0.118,-0.605,0.818,-17.945,17.944,-27.527,
00:00:00:350,-0.119,-0.608,0.818,-12.818,16.662,-29.786,
00:00:00:366,-0.12,-0.609,0.815,-13.855,15.808,-30.64,
00:00:00:383,-0.12,-0.615,0.817,-13.306,18.371,-30.274,
00:00:00:400,-0.12,-0.614,0.814,-20.142,16.906,-29.602,
00:00:00:416,-0.119,-0.61,0.82,-24.659,16.601,-28.687,
00:00:00:433,-0.118,-0.607,0.819,-24.659,13.427,-29.786,
00:00:00:450,-0.119,-0.608,0.821,-19.227,17.028,-30.518,
00:00:00:466,-0.119,-0.606,0.816,-16.541,18.554,-32.837,
00:00:00:483,-0.116,-0.604,0.817,-15.748,15.258,-30.579,
00:00:00:500,-0.122,-0.608,0.819,-13.184,19.348,-34.302,
00:00:00:516,-0.121,-0.605,0.816,-10.926,18.798,-30.518,
00:00:00:533,-0.118,-0.607,0.815,-8.423,19.592,-31.861,
00:00:00:550,-0.12,-0.608,0.814,-12.269,21.118,-33.509,
00:00:00:566,-0.116,-0.614,0.816,-14.893,20.996,-32.837,
00:00:00:583,-0.12,-0.61,0.814,-18.799,21.545,-31.189,
00:00:00:600,-0.119,-0.608,0.818,-21.363,19.775,-29.786,
00:00:00:616,-0.118,-0.608,0.813,-22.156,18.676,-31.495,
00:00:00:633,-0.117,-0.607,0.821,-21.546,18.432,-30.396,
00:00:00:650,-0.116,-0.606,0.819,-18.372,18.249,-30.213,
00:00:00:666,-0.12,-0.611,0.816,-12.391,17.517,-30.213,
00:00:00:683,-0.117,-0.615,0.819,-21.119,20.263,-28.626,
00:00:00:700,-0.119,-0.608,0.817,-25.94,20.08,-29.969,
00:00:00:716,-0.117,-0.604,0.819,-23.987,17.944,-28.199,
00:00:00:733,-0.12,-0.604,0.818,-22.095,15.441,-31.434,
00:00:00:750,-0.119,-0.601,0.82,-17.945,20.263,-31.8,
00:00:00:766,-0.119,-0.608,0.817,-10.01,23.071,-34.058,
00:00:00:783,-0.122,-0.61,0.814,-17.823,23.925,-35.096,
00:00:00:800,-0.115,-0.607,0.82,-21.912,30.273,-37.598,
00:00:00:816,-0.12,-0.613,0.805,-25.879,35.766,-39.246,
00:00:00:833,-0.133,-0.625,0.813,-53.467,46.325,-41.993,
00:00:00:850,-0.111,-0.608,0.847,-71.412,61.096,-47.303,
00:00:00:866,-0.101,-0.593,0.823,-50.293,48.95,-36.377,
00:00:00:883,-0.109,-0.609,0.822,-39.063,40.832,-53.894,
00:00:00:900,-0.12,-0.623,0.823,-63.538,37.17,-38.208,
00:00:00:916,-0.12,-0.592,0.818,-76.844,46.63,-35.95,
00:00:00:933,-0.116,-0.575,0.814,-72.937,49.987,-33.081,
00:00:00:950,-0.108,-0.595,0.835,-67.444,45.837,-41.321,
00:00:00:966,-0.102,-0.602,0.822,-70.984,40.1,-35.828,
00:00:00:983,-0.106,-0.588,0.831,-78.309,31.616,-30.823,
00:00:01:0,-0.106,-0.578,0.834,-66.163,24.597,-31.678,
00:00:01:16,-0.102,-0.574,0.84,-48.584,19.348,-32.166,
00:00:01:33,-0.104,-0.568,0.831,-28.687,12.573,-29.114,
00:00:01:50,-0.102,-0.572,0.842,-6.165,3.723,-28.443,
00:00:01:66,-0.111,-0.583,0.831,5.493,0.305,-29.847,
00:00:01:83,-0.117,-0.592,0.836,5.859,5.493,-24.781,
00:00:01:100,-0.117,-0.589,0.833,2.685,16.662,-23.438,
00:00:01:116,-0.109,-0.59,0.831,2.563,18.249,-25.574,
