TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.207,0.701,0.684,-10.193,17.334,-27.832,0,0,0,
,-0.209,0.696,0.681,-2.198,17.456,-29.114,0,0,0,
,-0.207,0.695,0.686,4.333,20.507,-34.607,0,0,0,
,-0.204,0.683,0.677,-4.883,18.188,-31.434,0,0,0,
,-0.204,0.689,0.686,-7.569,16.479,-28.626,0,0,0,
,-0.207,0.694,0.69,-10.926,18.005,-26.673,0,0,0,
,-0.21,0.697,0.677,-4.212,22.522,-30.64,0,0,0,
,-0.203,0.689,0.677,-2.869,24.108,-30.213,0,0,0,
,-0.204,0.683,0.68,-7.691,20.629,-28.321,0,0,0,
,-0.204,0.7,0.696,-13.55,16.601,-24.964,0,0,0,
,-0.208,0.694,0.681,-12.146,15.93,-27.955,0,0,0,
,-0.206,0.688,0.68,-0.367,19.531,-30.762,0,0,0,
,-0.2,0.679,0.683,-6.165,17.639,-31.25,0,0,0,
,-0.202,0.684,0.684,-16.236,12.023,-23.743,0,0,0,
,-0.205,0.697,0.69,-15.442,13.732,-26.49,0,0,0,
,-0.211,0.687,0.683,-9.339,29.48,-31.189,0,0,0,
,-0.207,0.694,0.686,-16.297,15.686,-27.527,0,0,0,
,-0.205,0.68,0.676,-16.419,15.502,-33.02,0,0,0,
,-0.205,0.691,0.688,-19.593,13.366,-28.687,0,0,0,
,-0.209,0.69,0.684,-25.696,11.901,-29.358,0,0,0,
,-0.212,0.696,0.684,-23.987,16.113,-28.321,0,0,0,
,-0.203,0.689,0.672,-29.664,14.526,-35.096,0,0,0,
,-0.205,0.69,0.689,-20.081,13.244,-31.495,0,0,0,
,-0.207,0.697,0.683,-24.353,13.794,-27.039,0,0,0,
,-0.212,0.701,0.68,-7.874,12.817,-28.138,0,0,0,
,-0.207,0.695,0.689,-0.611,15.686,-34.424,0,0,0,
,-0.209,0.677,0.683,-4.822,12.817,-33.143,0,0,0,
,-0.207,0.685,0.687,-16.114,13.671,-28.626,0,0,0,
,-0.207,0.688,0.681,-21.79,12.878,-27.283,0,0,0,
,-0.206,0.689,0.673,-7.752,10.62,-29.541,0,0,0,
,-0.206,0.69,0.681,-9.644,9.277,-29.297,0,0,0,
,-0.213,0.695,0.717,-17.456,8.056,-27.344,0,0,0,
,-0.211,0.695,0.683,-7.935,10.376,-31.739,0,0,0,
,-0.208,0.696,0.686,-0.428,10.009,-28.321,0,0,0,
,-0.209,0.677,0.685,-4.029,11.718,-34.607,0,0,0,
,-0.203,0.673,0.692,-14.466,15.808,-31.861,0,0,0,
,-0.205,0.686,0.687,-27.527,11.718,-28.321,0,0,0,
,-0.213,0.704,0.682,-20.691,12.817,-23.865,0,0,0,
,-0.212,0.7,0.679,-6.348,16.113,-29.236,0,0,0,
,-0.21,0.689,0.681,2.746,17.822,-29.847,0,0,0,
,-0.207,0.681,0.681,-2.808,14.343,-29.786,0,0,0,
,-0.211,0.682,0.697,-8.667,11.535,-31.25,0,0,0,
